InstagramLink,AccountUsername,Date,ImageLabels,Caption,Likes,Comments,Hashtags
https://www.instagram.com/p/DLaI5yzuUwy/,humansofny,2025-06-27,img1 | img2 | img3 | img4 | img5 | img6 | img7 | img8 | img9 | img10 | img11,"The first copies of Dear New York have arrived. This one is deeply personal; holding it in my hand is like holding three years of my life. it opens with a longform HONY story— think Tanqueray, think Detra, think Venus— except this time it’s the story of my own attempt to capture the people of this city. The book then expands into four hundred full-color portraits and stories. Unlike previous Humans of New York books: 75 percent of these stories have not been shared online. Dear New York was lovingly created to be the most special thing that’s ever come out of Humans of New York. It will make you think, it will make you laugh, it will make you cry. It’s my love letter to this city, and I can’t wait to share it with you this October. But if you could do me a favor: if you think you’ll be getting Dear New York this fall, consider locking in your order now. Preorders have never been more crucial to helping launch a book into the world. The book has yet to be heavily discounted, but I know Amazon and Barnes and Noble specifically will retroactively apply the inevitable future discounts to your order. Thanks everyone! Link in bio.",30168,426,
https://www.instagram.com/p/DN55iV0DeEc/,humansofny,2025-08-28,img1 | img2 | img3 | img4 | img5 | img6,"“Her name is Rita. It comes from a poem by a well-known poet of Palestine. It’s a song that I used to sing, and my wife loves it too. So Rita is a product of love between me and my wife. I haven’t seen either of them in a year and a half. When the border opened last year, I sent them both out of the country. I hold a Master’s degree in Burns, Plastic and Reconstructive Surgery—and these skills are deeply needed in Gaza. So I chose to stay behind. Now the border is closed, and I couldn’t leave if I wanted to. I do my best to talk to Rita on WhatsApp every day. I’ll ask about kindergarten, and her swimming lessons. I’ll look at her latest drawings, and try to encourage her. But that’s it; I’m a WhatsApp father only. A few days ago she was ignoring me a bit, so I asked: ‘Why don’t you talk to me?’ She told me: ‘I feel like I forgot you a little bit.’ My wife jumped in, and said: ‘No, no, she’s kidding.’ But I said: ‘She doesn’t need to be kidding. She’s saying the truth.’ I’ve been gone most of her life. First with my studies in England, and now with this separation. I do feel guilty, yes. But if I had left, I’d feel even more guilty. There’d be a crack in my heart. It would come to me in my nightmares, every time I saw the suffering of my people. The first stage of this genocide was to destroy the health infrastructure, so there’d be no refuge for the dying. I happen to be part of an organization, Doctors Without Borders, with big abilities and big principles. I knew that if we worked together, and made the right decisions, and did the right things—we’d be able to provide comfort to countless people. And that’s what we’ve done. I’ve co-managed a team that built a field hospital with 120 beds, and three surgical theaters running 24 hours. This is something I’ll be proud of for years and years. And I hope one day Rita will understand. I’ll ask her to read books and watch documentaries about the genocide. I’ll ask her to understand that I couldn’t close my eyes to the suffering of our people. We must resist. And how do we resist? By existing. And how do we exist? By having a value. And in our family, our value is to serve others, more than we serve ourselves.”",38011,758,
https://www.instagram.com/p/DNydbZ03Lpm/,humansofny,2025-08-25,img1 | img2 | img3 | img4 | img5 | img6 | img7,"“The last thing I heard was the voice of my children playing, then everything went black. When I opened my eyes I thought I’d gone blind. I couldn’t see anything. I could no longer hear their voices. I checked to see if my wife was alive. Her back and legs were fractured, but she was alive. So I turned on the light of my phone and tried to find the children. My three-year-old daughter Julia was calling to me from beneath the rubble: ‘Baba, Baba, where are you?’ I carried her to a safe place then went back for my second son Kareem. He had severe head trauma. He was in a trance. He kept saying: ‘I’m sorry Mama. Please don’t blame me. I’m sorry.’ When I brought them to the hospital, I refused to let my colleagues deal with their injuries. I dealt with them alone. I did the dressing. I removed the sutures. I wanted them to feel: ‘Our dad is taking care of us, maybe he can still protect us. Maybe he’s still our hero.’ We’re doing OK, I guess. My wife is in a wheelchair now; she can’t walk. So I’m everyone’s caregiver. The children’s wounds are healing slowly. But there is a big problem with their brain. They cannot eat well, cannot talk well. Julia is still waking in the night and screaming. Every time she hears a rocket she starts trembling and crying. I used to tell her: ‘Don’t worry. They’re not targeting us.’ It’s a myth that all of us in Gaza tell our children. But it doesn’t work anymore; she knows that it’s a lie.  I’m trying to keep myself together, so they can still see me as their hero. But no, I am not strong now. I’m weak. I’m not eating well. I used to wear better clothes. I’m not OK. There’s so much fear. Fear that they will never recover. If there’s another strike, even near us, they will lose their mind. You understand me? And I have so much guilt, because I’m the reason we stayed. We had a chance to leave Gaza, one year ago. But I refused. Because I love my people. I love my patients, so I chose to stay.  But I regret all of it. My children had the right to live their life. Not this life I chose for them. I’m not okay. I didn’t do well with my children. I didn’t save them or protect them. We used to be a beautiful family.  But now, I don’t know.”",104866,2388,
https://www.instagram.com/p/DNqrwcnu90s/,humansofny,2025-08-22,img1 | img2,"“I cannot forget a minute of that day. When I tell you this, it is like I’m seeing it in front of my face on a movie screen. At 3 AM drones appeared outside the windows of the hospital. Most of my colleagues had already fled. I forgive all of them; few beliefs can override the desire to save one’s own soul. But I could not leave. There were hundreds of patients, and few medical staff remaining. If the last of us left, these patients would have died. The hospital staff assembled in the lobby where we were stripped, handcuffed, blindfolded, and marched into the freezing night. Beneath my blindfold I could see hundreds of fighters with machine guns. I could hear the screams of my colleagues being beaten. My fear was so high I was close to cardiac arrest. Someone speaking weak Arabic put a gun to my head and told me I’d never see my children again. He asked: ‘Where is Hamas? Where are the Hostages?’ I told him: ‘I’m just a nurse; I disagree entirely with October 7th.’ But these guys did not care. They beat us all. The lorries came to transport us to the detention center. At the door of the lorry stood the strongest of their fighters, body-builders. And before entering each detainee received the three hardest punches we will ever receive in our lives. When we arrived we were made to lie on the ground, and they put dogs on us. The dogs had muzzles, but we could not see through our blindfolds. All around me was barking and screaming; I thought my colleagues were being eaten. I was detained for several weeks. The conditions were so bad I prayed to die. One of the prison guards, exactly one, I can accept as my neighbor. The rest had hatred in their eyes. Some spoke English; so I tried to reason with them. I pointed out that half of the detainees had debilitating medical conditions. Some were eighty years old. One man was mentally incapacitated. I asked the guards: ‘How could these people possibly be Hamas?’ But for every claim—they’d have a response. Some reason all of us were guilty. Even when I said: ‘I’m a nurse,’ they replied: ‘Oh, so you treated terrorists.’ To them, every Palestinian deserves to suffer. And nothing you say—nothing— will convince them otherwise.”",61528,1657,
https://www.instagram.com/p/DNoEmoutjg0/,humansofny,2025-08-21,img1 | img2 | img3 | img4 | img5 | img6 | img7,"When I tried to interview Marwa, the internet in Gaza was so bad I couldn’t hear half of her words. She then sent me a written follow-up, which was so moving, and so beautifully written, that I’ve ditched the interview altogether and am including it here in full: “Israel bombed our house into a pile of rubble and dust. Everyone in it— my mother, my father, my four sisters, my brother, my baby niece— became a memory in the same instant. During the war, the home had become our lifeline. Comfort wasn’t always in words. It was in a shared cup of tea in the dark. It was my mother holding our hands, her presence a silent promise that we were not alone. It was my sisters distracting the children with stories. We would huddle together, our physical closeness a shield against the terrifying sounds outside. It’s probably a mercy that the house is now gone, because I don’t think my heart could bear to see the physical emptiness of the rooms where so much life once existed. It’s the ‘unimportant’ moments, the background noise of a living family, that I miss the most. I miss the sound of my father’s key in the door at the end of the day. I miss my mother’s hand on my forehead, checking for a fever that wasn’t there, just out of habit. I miss arguing with Nour about politics and then laughing about it two minutes later. I miss Mona’s quiet smile from across the room, a look that says: ‘I understand. I miss Ayat bursting into my room to show me a funny video. I miss the boys debating which one of them was the better gamer. Where all that beautiful noise used to be—there is nothing but profound silence. If I had one more moment with each of them, I would simply say: ‘Thank you.’ To my father: ‘Thank you for believing in me more than I ever believed in myself.’ To my mother: ‘Thank you for every silent sacrifice I was too young or too busy to notice.’ To my sisters and brothers: ‘Thank you for being the irreplaceable pieces of my childhood and my heart.’ And if I could sit all of them together one more time, the whole family, I would say to them: ‘I see you. I see everything you did for me, for us. And I am so incredibly grateful.”",220508,4070,
https://www.instagram.com/p/DNjAzg7uL37/,humansofny,2025-08-19,img1 | img2 | img3 | img4,"“All day I am thinking: your son, your son. You need to do something for your son. Yazan is not a normal boy, he’s very disabled. But he’s the most precious thing I’ve got. Before the war he was improving so much. He was going to therapy. He was making good eye contact. He’s very shy, he cannot express his feelings. But I would take him to visit the neighbors and everyone loved him. He’s a lovely boy: he holds my head, he kisses my cheeks. Right before the war we had a surgery on his legs. At that time he was five years old. When the doctors removed his casts I brought him home from the hospital, and I told my daughters and my wife to close their eyes. When they opened their eyes again, Yazan was walking. We’ll never forget this moment; we had so much hope that he’d be a normal boy. But all the clinics have been closed now for two years. He’s had no therapy. Nothing has been done for him, nothing. Now if he walks three steps he falls down. Before the war he’d started to make sentences with a few words: ‘I need bread, I need water.’ Now if he wants something, he’ll just catch me by the arm and show me. And he’s doing this thing now, where he jerks his arms and legs. This is something we’ve never seen before. We thought we would always go forward. We thought that he would be a normal boy. But now I am watching him deteriorate before my eyes. I have a good job; I work on a medical team. But still, I have no power. It takes all my power just to keep him from dying. Last year he got very bad diarrhea. There was no drinkable water. All of the pharmacies were empty. But I heard of a pharmacy six kilometers away with diarrhea medicine. I was so tired. No car, no fuel, no donkey cart. It was like horrible American action movie: there was bombing, shooting from tanks, shooting from helicopter. But I walked six kilometers, and I got him some medicine. And we managed to stop the diarrhea. Anything he needs, I will do. I have two hands. In one of these hands I carry all the problems of my work, all the problems of the war, raising my four daughters with no food, no water, no shelter, no electricity. And in the other hand, I carry Yazan.” 📸 by @nouralsaqa",54663,1046,
https://www.instagram.com/p/DNgCesetgIW/,humansofny,2025-08-18,img1 | img2 | img3 | img4 | img5,"“Before the war I never thought of getting married— maybe after 30 or something. But when the war started my mind changed. Every night I am awakened by airstrikes. I live near the sea, and the helicopters are coming from the sea. Whenever I hear them, I am thinking: ‘What if this one is for me?” And if these shots are for me—how is it going to feel?’ A few months ago my uncles family—they died, to the very last, including the baby. They were sheltering in a school that got bombed. They say when something like that happens, you don’t feel anything. So if it happens to me, this is what I hope. But sometimes you get trapped beneath the rubble. And it takes a long time to die. It’s very scary to think about. For the first time in my life I’ve started to feel like I need someone— someone to tell me that everything’s going to be okay. Four months ago I became engaged. Her name is Lama. She’s the sister of my best friend Kareem, who was killed in a bombing last year. I was driving to her house today. I’d put on jeans, and was smelling very good, and I started thinking: ‘Maybe I shouldn’t be so happy. Because things are so bad for everyone.’ But if I’m being honest, we are very happy. It is maybe even better than being in love in a normal situation. Sometimes when I wake up from the airstrikes: I’ll send her a very sweet message: ‘I hope you are very good,’ and so on. This is something that is nothing during normal times. But it’s a bit different when you are checking if someone is alive. All these things, which used to seem like nothing, are everything to us now. I visit her two or three times a week. Every time I go to her house, we have like five minutes or so.  If she’s upset about Kareem, upset about the situation, afraid of the missiles, I’ll calm her down. I’ll give her a hug. It’s a very great feeling, honestly. I don’t know how to describe it. It’s not going to stop bullets, or bombs, but it makes you feel safe. By that I mean, at least I’m with her and she’s with me. If something happens to me, it is going to happen to her. So we going to be in the same situation. We will live together, or we will die together. And just knowing this, it makes me feel safe.”",66219,1285,
https://www.instagram.com/p/DNa_JyItgRQ/,humansofny,2025-08-16,img1 | img2 | img3 | img4 | img5,"“I cannot cry. Before the war— any little thing, it would make me cry. But now I cannot make myself. I want to but I can’t, even when my heart is breaking. I used to be a schoolteacher; I love children. But now I see them walking in the streets with no shoes. They come into our clinic and you can see how tired they are. Some of them are mutilated: they’ve lost a leg, or an arm. You see children crying because they cannot walk again. Yes, there is a lot of children like this now. But even the ones who aren’t injured are changing. Before the war it was not normal to find a child who wasn’t in school. There were organizations that would find the parents and force them to enroll. But now Gaza’s children haven’t been to school in two years. They’re changing. They’re beginning to think: ‘I will never go to school. I will just work to bring my family food or water.’ Even my own daughter; she’s twelve years old. She was a leader in school and she dreamed to be a doctor. She has a cousin in Canada, the same age. They have video calls, and my daughter can see the difference. She sees how far behind she’s fallen, and recently she told me: ‘I won’t be a doctor anymore.’ This broke my heart, but still, I could not cry. It’s like something is blocked in me. I don’t share my pain with anyone. I don’t share with my husband. I don’t share with my mother, or my father, or my sister. Because all these people come to me to feel safe. A few months ago when they bombed the house of my husband’s family—I went to collect the body parts. It was too difficult for my husband. He lost fifteen members of his family that day. His mother, his father, his brother, were beneath the rubble. So I went. I had to start looking: this is the head for who? This arm, this leg, is for who? Afterwards I sat alone, and I tried to cry. I felt that if only I could cry, I will feel better. I will feel less full. But even then, I could not. I have a colleague in the work, who tells me: ‘Kholoud, after the war, you are going to collapse. Because you do not cry.’” 📸 @nouralsaqa",81620,1832,
https://www.instagram.com/p/DNYN-7tNYJJ/,humansofny,2025-08-15,img1 | img2 | img3 | img4,"“My whole life people have said to me: ‘You are too kind, too sensitive.’ When I interviewed for a schoolteacher position, the principal told me: ‘You will never be able to control the students.’ Because of this I built in my mind that I’m not a very strong person, you know? I decided to focus on my house, my family, my children. When the war started I was working as a data encoder; I spent all day on the laptop. But Doctors Without Borders said to me: ‘Kholoud, there is no one left to ask. We need you to help organize our operations in the North.’ And I’ve done it. I organized a network of people on the ground. Everyone in the organization knows me now, respects me. And I’ve done all of this while raising four children, and another four children who lost their parents. In December we spent fifteen days on the street because there were too many bombs. Nobody could sleep safely inside. I ate nothing during this time, zero. I just drank some water every two days. We were sheltering in a small corridor inside a school yard. My husband left us to look for food, and that’s when the bomb fell. When it falls close to you, you don’t hear anything. You just see the body parts flying through the air: the hand of someone, the leg of someone, the head of someone. My son comes to me and his face is blood. My daughter comes to me and she is clutching her chest. My other two children are holding their legs; I can’t tell how they are injured. There was no hospital left in Gaza City, so I brought them back to our house. Our neighbor is a doctor, so I asked him to come over. We discovered that one of my children had shrapnel in the head. The other three in the leg. There was no anesthesia, no stitches. We put something in the children’s mouth, and I held them down while he removed the shrapnel with the kitchen knife. You cannot imagine how the children were screaming. But we removed the shrapnel. And when we finished, I took the knife, and removed the shrapnel from my own leg. ‘Too kind, too sensitive.’ I heard this my entire life. But I can tell you: another person lives inside you. And if the world forces you, you will find her.” 📸 @nouralsaqa",123122,2851,
https://www.instagram.com/p/DNTruwfRgup/,humansofny,2025-08-13,img1 | img2 | img3 | img4,"“I’ve closed my social media. From Gaza it’s all bad news: someone’s dying, someone’s been bombed, someone’s been displaced from their home. Then everywhere else in the world, you see things working so smoothly. Everyone is living their lives. Literally the smallest thing that they do: it makes me jealous. The smallest thing, like eating ice cream. This is my favorite food. And I’ve gone two years without any ice cream. I don’t want to feel envious of anyone, so I’m trying not to see it. I’m still trying to treat myself in whatever small ways I can: like doing my hair, or maybe having henna dye on my hands. After work I will try to sit with my sisters, so we can connect, and say about our dreams. One of my dreams is for us all to live on an empty farm, a quiet place outside all the world. Two of our cousins have already passed away in a bombing. Four of my nieces and nephews were injured. I can’t lose anyone else. I can’t, I won’t be able to take it. My family is everything to me. Right now our home is partially destroyed, but we are still living in it. Because we don’t have anywhere else to go. Every day when I come home from work, my two-year old niece is waiting for me at the front door. Her name is Hanan; it means kindness. And when she hugs me it’s like a battery has charged in my heart. Literally all of her life has been in this war. Whenever she hears the sound of a plane, she covers her ears and says: ‘Boom! Boom! Boom!’ She never goes anywhere. She never meets new people. We are her entire world. We do everything we can to protect her, to give her a childhood. Her birthday was two weeks ago. We had dancing all night. There was bombing all around us, but we just turned up the volume and tried to disconnect from all the noise. Sugar is impossible to get in Gaza now; but we gathered all the sugar we could. Everyone contributed. And with this sugar we made a cake, and cinnamon rolls, and sweet tea with mint. Hanan eats nothing but canned food; no snacks, no treats. So when she saw that cake, she started to scream. All the children started to scream; you can’t imagine their joy. It was maybe my best moment ever, in all of the war.”",90469,2184,
